date_id,employee_id,team_id,manager_id,process_id,country_id,shift_id,leave_id,login_hours,productive_hours,idle_hours,overtime_hours,cases_completed,cases_reopened,average_handle_time,quality_score,csat_score,adherence_percent,attendance_status,escalation_count
20251128,E0125,T006,M006,P003,C005,S002,,7.62,6.32,1.3,0,54,3,5.53,95.3,4.41,86.42,Present,1
20250909,E0262,T003,M002,P001,C004,S001,,9.58,8.11,1.47,0.58,74,3,9.98,98.63,4.29,88.68,Present,2
20250330,E0102,T005,M005,P004,C002,S001,,8.69,6.3,2.39,0,78,2,5.33,95.16,4.2,92.03,Present,0
20250208,E0289,T002,M006,P001,C001,S001,,8.15,6.05,2.1,0,82,3,5.01,85.81,4.07,90.92,Present,3
20251022,E0152,T003,M003,P003,C003,S001,L006,0,0,0,0,0,0,0,0,0,0,Leave,0
20250811,E0432,T002,M006,P002,C003,S001,,9.04,6.76,2.28,0.04,97,5,6.02,96.25,4.68,92.77,Present,2
20251103,E0197,T006,M001,P004,C002,S004,,8.65,6.91,1.74,0,108,3,10.49,89.86,4.95,90.57,Present,3
20251114,E0195,T003,M001,P001,C003,S002,,8.15,6.87,1.28,0,53,1,9.33,99.64,3.82,93.15,Present,2
20250117,E0057,T001,M005,P003,C005,S002,L001,0,0,0,0,0,0,0,0,0,0,Leave,0
20250207,E0374,T003,M003,P002,C002,S004,,8.36,6.67,1.69,0,61,3,9.11,98.75,4.75,88.67,Present,2
20250201,E0305,T003,M006,P002,C004,S003,,7.78,5.76,2.02,0,61,1,11.41,87.5,4.18,92.78,Present,1
20251212,E0044,T003,M003,P003,C004,S001,,9.64,6.97,2.67,0.64,93,3,7.23,97.97,4.42,91.78,WFH,2
20251127,E0026,T005,M004,P004,C004,S002,,9.65,7.73,1.92,0.65,94,4,8.87,94.57,4.18,93.72,Present,3
20250615,E0169,T006,M001,P001,C005,S003,,8.74,7.1,1.64,0,90,0,7.45,87.83,4.39,87.25,Present,2
20250605,E0460,T004,M003,P005,C004,S002,,9.84,7.43,2.41,0.84,48,3,8.04,85.84,4.17,93.53,Present,2
20250815,E0234,T003,M006,P003,C004,S002,,10.49,8.09,2.4,1.49,90,1,5.34,86.17,4.54,88.82,Present,3
20251016,E0059,T002,M006,P005,C002,S003,,8.58,7.23,1.35,0,72,2,7.99,97.56,4.99,88.34,Present,2
20250910,E0160,T005,M003,P004,C002,S002,,8.99,6.68,2.31,0,43,1,4.48,91.83,4.05,94.43,Present,0
20250705,E0345,T003,M006,P001,C002,S002,,8.29,5.9,2.39,0,79,1,7.06,93.21,4.15,97.81,Present,2
20250805,E0022,T002,M002,P001,C004,S003,,8.09,6.77,1.32,0,105,4,6.28,95.71,4.26,89.1,Present,1
20250423,E0257,T006,M006,P003,C001,S001,,9.67,6.84,2.83,0.67,50,3,9.84,96.09,4.48,88.97,Present,1
20250815,E0174,T003,M001,P002,C001,S003,,8.85,7.62,1.23,0,68,1,5.24,86.13,4.88,97.36,Present,2
20250216,E0037,T003,M003,P004,C003,S003,,8.75,6.48,2.27,0,60,3,11.05,97.95,4.24,89.44,Present,3
20250103,E0252,T002,M004,P003,C004,S003,,8.95,6.88,2.07,0,56,0,11.46,91.03,3.78,88.85,Present,2
20251219,E0390,T003,M006,P005,C005,S002,L005,0,0,0,0,0,0,0,0,0,0,Leave,0
20250309,E0018,T004,M004,P003,C004,S004,,9.15,7.97,1.18,0.15,48,0,4.95,86.28,3.8,99.27,Present,2
20250917,E0113,T001,M006,P001,C005,S004,,10.04,7.75,2.29,1.04,86,3,7.11,93.57,4.21,98.14,Present,3
20250315,E0401,T004,M002,P005,C001,S002,,10.27,8.25,2.02,1.27,79,0,7.99,85.29,4.12,85.81,Present,0
20250629,E0401,T002,M006,P003,C005,S002,,8.3,6.13,2.17,0,78,1,11.31,93.18,3.6,90.43,Present,1
20250520,E0400,T006,M006,P001,C002,S003,,9.47,8.44,1.03,0.47,83,3,9.9,95.27,4.75,87.45,Present,2
20250123,E0093,T005,M002,P005,C002,S002,,7.52,5.86,1.66,0,98,1,10.05,86.36,4.15,98.48,Present,2
20251204,E0459,T003,M002,P002,C002,S004,,8.85,7.45,1.4,0,64,0,9.43,86.17,4.9,87.81,Present,0
20250617,E0013,T005,M001,P001,C002,S003,,10.13,8.66,1.47,1.13,93,0,6.67,98.31,4.08,86.56,Present,3
20251212,E0307,T002,M002,P001,C001,S002,,10.09,7.84,2.25,1.09,105,5,6.03,99.15,4.55,85.26,Present,1
20250206,E0131,T006,M006,P002,C004,S003,,9.43,7.27,2.16,0.43,77,3,7.24,96.1,4.93,92.96,Present,0
20250629,E0474,T001,M002,P005,C002,S003,,8.96,7.05,1.91,0,90,3,7.72,97.44,4.27,96.26,Present,3
20250814,E0162,T001,M005,P003,C003,S004,L004,0,0,0,0,0,0,0,0,0,0,Leave,0
20251016,E0369,T001,M004,P003,C004,S004,,7.77,6.79,0.98,0,84,5,6.08,93.21,4.85,92.49,Present,0
20250420,E0032,T005,M005,P001,C002,S003,,8.68,6.89,1.79,0,59,0,11.47,97.46,4.92,93.2,Present,3
20251123,E0242,T006,M003,P001,C005,S002,,9.34,7.99,1.35,0.34,95,5,10.71,94.06,4.06,93.67,Present,1
